Cód Produto;Descrição;CORRIGIDO
504000053;CAMISA OPERACIONAL MASC M;0504000053
504000054;CAMISA OPERACIONAL MASC P;0504000054
504000056;CAMISETA FEM OPERADOR TAM: P;0504000056
504000057;CAMISETA FEM OPERADOR TAM: M;0504000057
504000058;CAMISETA FEM OPERADOR TAM: G;0504000058
504000059;CAMISETA OPERADOR FEM GG;0504000059
504000060;CAMISETA FEM OPERADOR TAM: EXG;0504000060
504000061;CAMISETA OPERADOR FEM EXG;0504000061
504000068;CAMISETA FEM.;0504000068
504000069;CAMISETA FEM.;0504000069
504000075;CAMISETA FEM.;0504000075
504000076;CAMISETA FEM.;0504000076
504000077;CAMISETA FEM.;0504000077
504000083;CAMISETA  TAM - P;0504000083
504000084;CAMISETA MASC P;0504000084
504000085;CAMISETA OPERADOR MASC M;0504000085
504000086;CAMISETA OPERADOR MASC G;0504000086
504000087;CAMISETA OPERADOR MASC GG;0504000087
504000089;CAMISETA OPERADOR MASC XG;0504000089
504000090;CAMISETA TAM - M;0504000090
504000095;CAMISETA MASC EXG;0504000095
504000097;CAMISETA TAM - G;0504000097
504000098;CAMISETA TAM - GG;0504000098
504000103;CAMISETA OPERACIONAL XG;0504000103
504000104;CAMISETA DRY FIT ROXA XGG;0504000104
504000105;CAMISETA POLO P;0504000105
504000106;CAMISETA POLO M;0504000106
504000107;CAMISETA POLO G;0504000107
504000108;CAMISETA POLO MASC GG;0504000108
504000109;CAMISETA POLO MASC  XG;0504000109
504000111;UNIFORME OPERACIONAL CALCA EXG;0504000111
504000152;CAMISA POLO MASC M;0504000152
504000153;CAMISA UNIFORME TAM. P;0504000153
504000154;CAMISA UNIFORME TAM M;0504000154
504000155;CAMISA UNIFORME TAM. G;0504000155
504000156;CAMISA UNIFORME FEM GG;0504000156
504000157;CAMISA UNIFORME TAM. XGG;0504000157
504000158;CAMISA OPERACIONAL XXGG;0504000158
504000172;BLUSA DE MOLETOM P;0504000172
504000174;BLUSA DE MOLETOM  G;0504000174
504000175;BLUSA DE MOLETOM GG;0504000175
504000176;BLUSA DE MOLETOM TAM. EXG;0504000176
504000185;BLUSA MOLETOM FLANELADA TAM P;0504000185
504000186;BLUSA MOLETOM FLANELADA TAM M;0504000186
504000187;BLUSA MOLETOM FLANELADA TAM G;0504000187
504000188;BLUSA MOLETOM FLANELADA TAM GG;0504000188
504000205;CAMISETA BRIGADA FEM P;0504000205
504000206;CAMISETA BRIGADA FEM M;0504000206
504000207;CAMISETA BRIGADA FEM G;0504000207
504000208;CAMISETA BRIGADA FEM GG;0504000208
504000209;CAMISETA BRIGADA MASC P;0504000209
504000210;CAMISETA BRIGADA MASC M;0504000210
504000211;CAMISETA BRIGADA MASC G;0504000211
504000212;CAMISETA BRIGADA MASC GG;0504000212
504000219;CAMISETA POLO FEMININA;0504000219
504000221;CAMISETA POLO FEM - TAM P;0504000221
504000222;CAMISETA POLO FEM - TAM M;0504000222
504000223;CAMISETA POLO FEM - TAM G;0504000223
504000224;CAMISETA POLO FEM GG;0504000224
504000225;CAMISETA POLO FEM. SUP. TAM XG;0504000225
504000226;CAMISETA POLO MASC. SUP. TAM P;0504000226
504000227;CAMISETA POLO MASC. SUP. TAM M;0504000227
504000228;CAMISETA POLO MASC. SUP. TAM G;0504000228
504000229;CAMISETA POLO MASC. SUP. GG;0504000229
504000230;CAMISETA POLO MASC SUP TAM XG;0504000230
504000231;CAMISETA POLO FEM COORD P;0504000231
504000232;CAMISETA POLO FEM COORD M;0504000232
504000233;CAMISETA POLO FEM COORD G;0504000233
504000247;CAMISETA CIPA MASC G;0504000247
504000250;CALCA BRIM MASC. 36;0504000250
504000251;CALCA BRIM MASC. 38;0504000251
504000252;CALCA BRIM MASC. 40;0504000252
504000253;CALCA BRIM MASC. 42;0504000253
504000254;CALCA BRIM MASC. 44;0504000254
504000255;CALCA BRIM MASC. 48;0504000255
504000256;CALCA BRIM MASC. 50;0504000256
504000257;CALCA BRIM MASC. 52;0504000257
504000264;CALCA BRIM FEM. 46;0504000264
504000281;CALCA BRIM MASC. 46;0504000281
504000285;CALCA JEANS OP MASC 38;0504000285
504000286;CALCA JEANS OP MASC 40;0504000286
504000287;CALCA JEANS OP MASC 42;0504000287
504000288;CALCA JEANS OP MASC 44;0504000288
504000289;CALCA JEANS OP MASC 46;0504000289
504000290;CALCA JEANS OP MASC 48;0504000290
504000291;CALCA JEANS OP MASC 50;0504000291
504000293;CALCA JEANS OP MASC 54;0504000293
504000294;CALCA JEANS OP MASC 56;0504000294
504000298;CALCA JEANS OPERACIONAL FEM 38;0504000298
504000299;CALCA JEANS OPERACIONAL FEM 40;0504000299
504000300;CALCA JEANS OPERACIONAL FEM 42;0504000300
504000301;CALCA JEANS OPERACIONAL FEM 44;0504000301
504000314;CALCA BRIM MASC. 54;0504000314
504000340;CALCA JEANS MASCULINA;0504000340
504000348;BERMUDA MASCULINA;0504000348
504000352;CAMISETA BRIGADA MASC EXG;0504000352
504000354;CAMISETA TAM - PP;0504000354
504000411;BRACADEIRA;0504000411
504000422;CORDAO PARA CRACHA - CIPA;0504000422
504000429;COLETE VERMELHO P;0504000429
504000430;COLETE VERMELHO M;0504000430
504000431;COLETE VERMELHO G;0504000431
504000432;COLETE VERDE P;0504000432
504000433;COLETE VERDE M;0504000433
504000434;COLETE VERDE G;0504000434
504000435;COLETE AZUL P;0504000435
504000436;COLETE AZUL M;0504000436
504000437;COLETE AZUL G;0504000437
504000438;COLETE AZUL PP;0504000438
504000439;COLETE AZUL GG;0504000439
504000442;COLETE AMARELO P;0504000442
504000443;COLETE AMARELO M;0504000443
504000444;COLETE AMARELO G;0504000444
504000445;COLETE LARANJA P;0504000445
504000446;COLETE LARANJA M;0504000446
504000447;COLETE LARANJA G;0504000447
504000448;COLETE AMARELO GG;0504000448
504000449;COLETE LARANJA GG;0504000449
504000450;COLETE VERDE GG;0504000450
504000451;COLETE VERMELHO GG;0504000451
504000453;COLETE VERDE XG;0504000453
504000454;COLETE VERDE XXG;0504000454
504000455;COLETE AZUL XG;0504000455
504000456;COLETE ESPECIAL SOB MEDIDA;0504000456
504000462;COLETE PRETO M;0504000462
504000463;COLETE PRETO G;0504000463
504000464;COLETE PRETO GG;0504000464
504000465;COLETE LARANJA XG;0504000465
504000466;COLETE LARANJA XXG;0504000466
504000472;UNIFORME OPERACIONAL CALCA 38;0504000472
504000473;UNIFORME OPERACIONAL CALCA 40;0504000473
504000474;UNIFORME OPERACIONAL CALCA 42;0504000474
504000475;UNIFORME OPERACIONAL CALCA 44;0504000475
504000476;UNIFORME OPERACIONAL CALCA 46;0504000476
504000477;UNIFORME OPERACIONAL CALCA 48;0504000477
504000495;COLETE LARANJA G;0504000495
504000496;COLETE AMARELO P;0504000496
504000497;COLETE AMARELO M;0504000497
504000498;COLETE AMARELO G;0504000498
504000499;COLETE AMARELO XG;0504000499
504000500;COLETE AMARELO XGG;0504000500
504000501;COLETE LARANJA YARD MARSHALL P;0504000501
504000509;CAMISA MANUTENCAO PREDIAL M;0504000509
504000510;CAMISA MANUTENCAO PREDIAL G;0504000510
504000511;CAMISA MANUTENCAO PREDIAL GG;0504000511
504000516;CALCA MANUTENCAO PREDIAL M;0504000516
504000517;CALCA MANUTENCAO PREDIAL G;0504000517
504000518;CALCA MANUTENCAO PREDIAL GG;0504000518
504000520;COLETE PRETO XG;0504000520
504000522;CALCA NR10 RISCO 2 AZUL - P;0504000522
504000523;CALCA NR10 RISCO 2 AZUL M;0504000523
504000524;CALCA NR10 RISCO 2 AZUL G;0504000524
504000525;CALCA NR10 RISCO 2 AZUL GG;0504000525
504000526;CALCA NR10 RISCO 2 AZUL - EXG;0504000526
504000527;CAMISA NR10 RISCO 2 AZUL - P;0504000527
504000528;CAMISA NR10 RISCO 2 AZUL M;0504000528
504000529;CAMISA NR10 RISCO 2 AZUL G;0504000529
504000530;CAMISA NR10 RISCO 2 AZUL GG;0504000530
504000531;CAMISA NR10 RISCO 2 AZUL - EXG;0504000531
504000532;COLETE VERMELHO XXG;0504000532
504000533;COLETE LARANJA YARD MARSHALL M;0504000533
504000534;COLETE LARANJA YARD MASHALL GG;0504000534
504000535;COLETE LARANJA YARD MARSHALL G;0504000535
504000536;COLETE LARAN YARD MARSHALL EXG;0504000536
504000537;COLETE LARANJA TAM. EXG;0504000537
504000552;CAMISETA UV MANG LONGA P;0504000552
504000553;CAMISETA UV MANG LONGA M;0504000553
504000554;CAMISETA UV MANG LONGA G;0504000554
504000555;CAMISETA UV MANG LONGA GG;0504000555
504000557;JAPONA CAM FRIA AZ G;0504000557
504000558;JAPONA CAM FRIA AZ GG;0504000558
504000559;CALCA CAM FRIA AZ G;0504000559
504000560;CALCA CAM FRIA AZ GG;0504000560
504000561;COLETE PRETO XXG;0504000561
504000563;COLETE CINZA  P;0504000563
504000564;COLETE CINZA  M;0504000564
504000565;COLETE CINZA  G;0504000565
504000566;COLETE CINZA  GG;0504000566
504000567;COLETE CINZA  XG;0504000567
504000568;COLETE CINZA XXG;0504000568
504000569;COLETE AZUL CLARO P;0504000569
504000570;COLETE AZUL CLARO M;0504000570
504000571;COLETE AZUL CLARO G;0504000571
504000572;COLETE AZUL CLARO GG;0504000572
504000573;COLETE AZUL CLARO XG;0504000573
504000574;COLETE AZ MARINHO HSE P;0504000574
504000575;COLETE AZ MARINHO HSE M;0504000575
504000576;COLETE AZ MARINHO HSE G;0504000576
504000577;COLETE AZ MARINHO HSE GG;0504000577
504000578;COLETE AZ MARINHO HSE XG;0504000578
504000579;COLETE AZ MARINHO TI P;0504000579
504000580;COLETE AZ MARINHO TI M;0504000580
504000581;COLETE AZUL MARINHO G;0504000581
504000582;COLETE AZUL MARINHO GG;0504000582
504000583;COLETE LARANJA PIT P;0504000583
504000584;COLETE LARANJA PIT M;0504000584
504000585;COLETE LARANJA PIT G;0504000585
504000586;COLETE LARANJA PIT GG;0504000586
504000587;COLETE LARANJA PIT XG;0504000587
504000596;CAMISETA OP REFLETIVO P;0504000596
504000598;CAMISETA OP REFLETIVO G;0504000598
504000599;CAMISETA TAM - M;0504000599
504000600;CAMISETA OP REFLETIVO GG;0504000600
504000601;COLETE AZ MARINHO XG;0504000601
504000602;CAMISETA UV MANG LONGA XGG;0504000602
504000603;COLETE AZUL CLARO XXG;0504000603
505000122;PLACA SINALIZ 5.2 TRIANGULAR;0505000122
505000144;PLACA ROTA DE FUGA ESQ. ESCADA;0505000144
505000146;PLACA ROTA DE FUGA DIR. ESCADA;0505000146
505000147;PLACA ROTA DE FUGA;0505000147
505000152;PLACA SINALIZACAO AP;0505000152
505000163;PLACA VIDRO INCO. 220X220 MM;0505000163
505000186;PLACA ROTA DE FUGA P BAIXO;0505000186
505000190;BOLINHA DE PING PONG;0505000190
506000003;BOBINA DE PAPEL SEMI KRAFT;0506000003
506000009;CAIXA DE PAPELAO P07;0506000009
506000011;CAIXA DE PAPELAO 325X235X90;0506000011
506000035;ELASTICO;0506000035
506000039;ETIQUETA TERM BRANCO 100X76;0506000039
506000050;ETIQUETA PORTA PALETE 100X50;0506000050
506000058;RIBBON CERA 110X450 MTS;0506000058
506000060;FILME STRECH S/ TUBETE;0506000060
506000061;FILME STRECH S/ TUBETE PT;0506000061
506000064;FITA ADESIVA TRANSPARENTE;0506000064
506000068;FITA GOMADA;0506000068
506000076;LONA PLASTICA PRETA 4X100;0506000076
506000083;PLASTICO BOLHA;0506000083
506000146;ISOPOR EM FLOCOS PREENCHIMENTO;0506000146
506000159;STRETCH RECUPERADO 500X30;0506000159
506000177;FITA CREPE 48X50M;0506000177
506000218;ENVELOPE FRONHA CANGURU;0506000218
506000225;FITA VHB 3M;0506000225
506000231;ETIQUETA COUCHE 105X126;0506000231
506000238;SELO METALICO P/ FITA ARQUEAR;0506000238
506000246;ETIQUETA BRANCA COUCHE 100X50;0506000246
506000255;ETIQUETA COUCHE 100X150;0506000255
506000272;BARBANTE 8 FIOS 100 ALGODAO C3;0506000272
506000292;CAIXA A10 16X23 485X340X150;0506000292
506000293;CAIXA A2 PEQUENA 330X250X150;0506000293
506000294;CAIXA A3 CORTE VINCO 690X535;0506000294
506000295;CAIXA A4 GRANDE 14X21;0506000295
506000297;CAIXA PADRAO C 480X300X263;0506000297
506000299;CAIXA FS2-C 310X240X140;0506000299
506000302;CAIXA MKTD BC 305X245X85;0506000302
506000304;CAIXA FS1 - C 310X240X190;0506000304
506000307;FITA ADESIVA 48X100 TRANSP;0506000307
506000311;ETIQUETA 100X70;0506000311
506000313;ETIQUETA AMARELA 100X150;0506000313
506000321;ETIQUETA 80X32 BRANCA;0506000321
506000322;FILME POLIOLEF 400X13 MICRAS;0506000322
506000323;FILME POLIOLEF500X13 MICRAS;0506000323
506000325;CARTAO CINZA H60;0506000325
506000326;BOLSA DE AR  200MMX1125MX120MM;0506000326
506000345;ETIQUETA BRANCA 100 X 70;0506000345
506000347;CALCO COM VINCO PAPELAO;0506000347
506000369;RIBBON;0506000369
506000371;ETIQUETA COUCHE BRANCA 100X150;0506000371
506000378;FILME POLIOLEF 600X19 MICRAS;0506000378
506000382;CAIXA CAMINHAO ARTICULADO M3;0506000382
506000393;ETIQUETA COUCHE 105 X 65 MM;0506000393
506000395;CAIXA EXPORTACAO 500X370X356;0506000395
506000426;ETIQUETA COUCHE AMARELA 100X50;0506000426
506000491;ENVELOPE COEX LISO 30X40;0506000491
506000498;FITA DUPLA FACE;0506000498
506000508;ETIQUETA TERMICA;0506000508
506000515;ETIQUETA BRANCA 80 X 32;0506000515
506000572;CAIXA PAPELAO TRIPLEX250X200;0506000572
506000591;CAIXA PAPELAO 500X350X280;0506000591
506000603;ETIQ. COUCHE AZUL 35X30X3;0506000603
506000609;FILME STRECH C/ TUBETE;0506000609
506000617;FITA ADESIVA 48X50 TRANSPARENT;0506000617
506000622;FILME STRECH 10MM;0506000622
506000643;ETIQUETA BOPP LR 100X50MM;0506000643
506000650;ETIQUETA BOPP BR 100X50MM;0506000650
506000660;ETIQUETA BRANCA 100X150;0506000660
506000664;FITA TRANSPARENTE MARRON;0506000664
506000673;LACRE 16CM C/DUPLA TRAVA NUMER;0506000673
506000687;ETIQUETA 110X50 COUCHE LARANJA;0506000687
506000690;FITILHO;0506000690
506000691;ETIQ. COUCHE VERDE 35X30X3;0506000691
506000692;ETIQ. COUCHE AMARELA 35X30X3;0506000692
506000693;ETIQ. COUCHE VERMELHA 35X30X3;0506000693
506000732;FITA GOMADA C/ REFORCO;0506000732
506000742;ETIQUETA TERMICA 102X150;0506000742
506000798;ENVELOPE COEX C/BOLHA 30X40CM;0506000798
506000800;ENVELOPE PLASTICO AWB 15X25CM;0506000800
506000842;ETIQUETA COUCHE 100X50X1 MM;0506000842
506000843;ETIQUETA COUCHE 60X45X1 MM;0506000843
506000844;ETIQUETA COUCHE AM 60X45X1 MM;0506000844
506000845;ETIQUETA COUCHE 23X34X3 MM;0506000845
506000846;ETIQUETA COUCHE 15X32X3 MM;0506000846
506000847;ETIQ. COUCHE AM ESCURO 35X30X3;0506000847
506000848;ETIQ. COUCHE PRETA 35X30X3;0506000848
506000849;BOBINA TERMICA 79X40;0506000849
506000850;ETIQ COUCHE VERDE 105X23;0506000850
506000851;ETIQ COUCHE LILAS 105X23;0506000851
506000852;ETIQUETA COUCHE AMARELA 105X23;0506000852
506000853;ETIQ COUCHE DOURADO 105X23;0506000853
506000854;ETIQ COUCHE BC BORDA PT 105X23;0506000854
506000855;ETIQUETA COUCHE 34X23X3 MM;0506000855
506000861;FITA GOMADA C/ REFORCO 80MM;0506000861
506000862;FITA GOMADA C/ REFORCO 60MM;0506000862
506000864;ETIQ VERDE BOPP 100X20;0506000864
506000865;ETIQ ROSA BOPP 100X20;0506000865
506000866;ETIQ AMARELO BOPP 100X20;0506000866
506000867;ETIQ AZUL BOPP 100X20;0506000867
506000868;PLAST PVC TRANSP IMPERMEAVEL�;0506000868
506000888;CAIXA PP 301X171X170;0506000888
506000889;CAIXA P 490X287X151;0506000889
506000890;CAIXA M 491X268X284;0506000890
506000905;ETIQUETA COUCHE 35 X 30�;0506000905
506000908;ETIQ COUCHE AMARELA 60X275;0506000908
506000909;ETIQUETA COUCHE AZUL 60X275;0506000909
506000910;ETIQ COUCHE BRANCA 60X275;0506000910
506000913;ETIQUETA COUCHE VERDE 100X25;0506000913
506000920;RIBBON CERA EXTER PRETO 110X74;0506000920
506000921;ETIQUETA BOPP VERDE 60X275MM;0506000921
506000928;ETIQUETA BOPP VERDE 100X25;0506000928
506000929;ETIQUETA BOPP ROXA 100X25;0506000929
506000930;ETIQUETA BOPP AMARELA 100X25;0506000930
506000931;ETIQUETA BOPP AZUL 100X25;0506000931
506000932;ETIQUETA BOPP BRANCA 100X25;0506000932
506000933;ETIQUETA BOPP ROSA 100X25;0506000933
506000934;ETIQUETA BOPP LARANJA 100X25;0506000934
506000935;RIBBON MISTO EXT PRETO 110X74;0506000935
506000936;CAIXA PAPELAO BIN 440X275X270;0506000936
506000938;ETIQ ADESIVA TT TARJA LARANJA;0506000938
506000939;ETIQ ADESIVA SPOOL - ROXA;0506000939
506000940;ETIQ COUCHE ADESIVO - VERDE;0506000940
506000941;ETIQ COUCHE ADESIVO - VERMELHO;0506000941
506000942;ETIQ ADESIVA ENDERECO G+1 - BR;0506000942
506000943;ETIQ LARANJA BOPP 100X20;0506000943
506000944;ETIQ CINZA BOPP 100X20;0506000944
506000945;ETIQUETA TERMICA BRANCA 80X32;0506000945
506000946;ETIQUETA TERMICA BRANCA 100X70;0506000946
506000954;ETIQUETA BOPP AZ 100X50MM;0506000954
506000955;ENVELOPE CANGUR TP FRONHA;0506000955
506000956;ETIQUETA COUCHE 90X40;0506000956
506000958;ETIQ TERMICA 40X40 MM;0506000958
506000959;ETIQ TERMICA 50X25 MM;0506000959
506000960;ETIQ TERMICA 60X40 MM;0506000960
506000965;ETIQUETA REDONDA AZUL 19MM;0506000965
506000978;ENVELOPE 32X40;0506000978
506000979;ENVELOPE 50X50;0506000979
506000980;ENVELOPE 100X60;0506000980
506000982;CAIXA DE PAPELAO 18X12X12;0506000982
506000983;CAIXA DE PAPELAO 28X18X12;0506000983
506000984;CAIXA DE PAPELAO 35X22X12;0506000984
506000990;ETIQUETA AZUL 100X150;0506000990
506000991;ETIQUETA VERDE 100X150;0506000991
506000992;ETIQUETA LARANJA 100X150;0506000992
506000993;ETIQUETA ROSA 100X150;0506000993
506000995;BIN DE PAPELAO 180X180X1060;0506000995
506000996;BIN DE PAPELAO 300X280X1000;0506000996
506000997;ETIQUETA BOPP ROXA 70X60MM;0506000997
506000998;ETIQUETA BOPP AMARELA 70X60MM;0506000998
506000999;ETIQUETA BOPP VERMELHA 70X60MM;0506000999
506001000;ETIQUETA BOPP AZ CLARO 70X60MM;0506001000
506001001;ETIQUETA BOPP AZUL 70X60MM;0506001001
506001002;ETIQUETA BOPP BRANCA 70X60MM;0506001002
506001003;ETIQUETA BOPP VERDE 190X190MM;0506001003
506001004;ETIQUETA BOPP ROXA 190X190MM;0506001004
506001005;ETIQUETA BOPP AM 190X190MM;0506001005
506001006;ETIQUETA BOPP VM 190X190MM;0506001006
506001007;ETIQUETA BOPP AZ CL 190X190MM;0506001007
506001008;ETIQUETA BOPP AZUL 190X190MM;0506001008
506001009;ETIQUETA BOPP BRANCA 190X190MM;0506001009
506001010;ETIQUETA TERMICA 80X30;0506001010
506001014;FILME STRECH VERMELHO S/ TUBO;0506001014
506001015;COLA TECHNOMELT SUPRA 100 25KG;0506001015
506001016;ETIQUETA TERM BRANCO 105X150;0506001016
506001017;ETIQUETA TERMICA AZUL 105X150;0506001017
506001018;ETIQUETA TERM AMARELA 105X150;0506001018
506001019;ETIQUETA BOPP AM 100X50MM;0506001019
506001020;ETIQUETA BOPP RS 100X50MM;0506001020
506001021;ETIQUETA BOPP VD 100X50MM;0506001021
506001022;ETIQUETA BOPP VM 100X50MM;0506001022
506001030;CAIXA PAPELAO 160X110X60;0506001030
506001031;CAIXA PAPELAO 320X230X60;0506001031
506001032;CAIXA PAPELAO 320X260X100;0506001032
506001036;ETIQUETA COUCHE VERDE 100X50;0506001036
506001037;ETIQUETA COUCHE AZUL 100X50;0506001037
506001038;ETIQUETA COUCHE VM 100X50;0506001038
506001039;FILME STRECH AM C/ TUBETE;0506001039
506001040;FILME STRECH VD C/ TUBETE;0506001040
506001041;FILME STRECH AZ C/ TUBETE ��� ;0506001041
506001042;FILME STRECH VM C/ TUBETE ��� ;0506001042
506001044;CAIXA PAPELAO 105X105X305;0506001044
506001045;CAIXA PAPELAO 400X320X110;0506001045
506001046;CAIXA PAPELAO 400X320X220;0506001046
507000001;PALETE PBR;0507000001
508000002;CREME PROTETOR DE PELE;0508000002
508000003;FILTRO RESPIRADOR VO/GA;0508000003
508000004;CALCADO DE SEGURANCA NR 36;0508000004
508000005;CALCADO DE SEGURANCA NR37;0508000005
508000006;CALCADO DE SEGURANCA NR 38;0508000006
508000007;CALCADO DE SEGURANCA NR 39;0508000007
508000009;CALCADO DE SEGURANCA NR40;0508000009
508000011;CALCADO DE SEGURANCA NR 43;0508000011
508000025;CALCADO DE SEGURANCA 41;0508000025
508000034;CAPA DE CHUVA DESCARTAVEL;0508000034
508000035;CAPACETE AZUL;0508000035
508000036;CAPACETE DE SEGURANCA;0508000036
508000037;CAPACETE BRANCO;0508000037
508000038;CAPUZ BALACLAVA;0508000038
508000039;CINTO DE SEGURANCA TALABARTE;0508000039
508000041;LUVA;0508000041
508000043;LUVA LATEX TAM P;0508000043
508000044;LUVA VAQUETA PUNHO 20CM;0508000044
508000045;LUVA NITRILICA VERDE M;0508000045
508000047;LUVA PIGMENTADA M;0508000047
508000051;MASCARA;0508000051
508000052;OCULOS DE SEGURANCA INCOLOR;0508000052
508000053;OCULOS DE SEGURANCA ESPELHADO;0508000053
508000054;OCULOS SEGURANC INCOLOR SPY;0508000054
508000055;OCULOS DE SEGURANCA FUME;0508000055
508000066;PRANCHA DE RESGATE;0508000066
508000068;MASCARA C/ FILTRO VO/GA;0508000068
508000069;LUVA LATEX TAM. M;0508000069
508000073;PROTETRO SOLAR FATOR 30;0508000073
508000082;CAPA P/ MACA DE RESGATE;0508000082
508000083;OCULOS SEG AMPLA VISAO INCOLOR;0508000083
508000091;MANGOTE;0508000091
508000103;AVENTAL PVC;0508000103
508000108;CINTO DE SEGURANCA PARAQUEDIST;0508000108
508000135;BOTA PVC CANO LONGO 36;0508000135
508000138;TOUCA DESCARTAVEL COM ELASTICO;0508000138
508000141;CAMISA DE SEGURANCA NR-10 G;0508000141
508000148;PROTETOR AURICULAR PLUG;0508000148
508000149;PROTETOR AURICULAR CONCHA;0508000149
508000169;MASCARA DE SOLDA ELETRONICA;0508000169
508000172;CALCADO BICO DE ACO 45;0508000172
508000173;CALCADO BICO DE ACO 46;0508000173
508000187;LUVA NITRILICA AZUL P;0508000187
508000188;LUVA NITRILICA AZUL M;0508000188
508000189;LUVA NITRILICA AZUL G;0508000189
508000190;PALMILHA N 34;0508000190
508000193;PALMILHA N��� ;0508000193
508000194;PALMILHA N��� ;0508000194
508000195;PALMILHA N��� ;0508000195
508000196;PALMILHA N��� ;0508000196
508000197;PALMILHA N��� ;0508000197
508000198;PALMILHA N��� ;0508000198
508000199;PALMILHA N��� ;0508000199
508000200;PALMILHA N��� ;0508000200
508000201;PALMILHA N��� ;0508000201
508000202;PAMILHA N��� ;0508000202
508000208;LUVA RASPA CANO LONGO 20CM T 8;0508000208
508000209;LUVA RASPA CANO LONGO 20CM T 9;0508000209
508000214;CALCADO SEG BICO COMPOSITE 36;0508000214
508000215;CALCADO SEG BICO COMPOSITE 37;0508000215
508000216;CALCADO SEG BICO COMPOSITE 38;0508000216
508000217;CALCADO SEG BICO COMPOSITE 39;0508000217
508000218;CALCADO SEG BICO COMPOSITE 40;0508000218
508000219;CALCADO SEG BICO COMPOSITE 41;0508000219
508000220;CALCADO SEG BICO COMPOSITE 42;0508000220
508000221;PALMILHA DE SILICONE 36;0508000221
508000226;PALMILHA DE SILICONE 41;0508000226
508000228;CALCADO SEG BICO COMPOSITE 43;0508000228
508000245;ABRIGO PARA HIDRANTE;0508000245
508000246;COLETE REFLETOR SINALIZACAO M;0508000246
508000247;CALCADO SEG BICO COMPOSITE 34;0508000247
508000248;CALCADO SEG BICO COMPOSITE 35;0508000248
508000249;CALCADO SEG BICO COMPOSITE 44;0508000249
508000256;LUVA DE VINIL M;0508000256
508000268;CALCADO SEG BICO COMPOSITE 33;0508000268
508000270;CALCADO SEG. BICO PVC N��� ;0508000270
508000271;CALCADO SEG. BICO PVC N��� ;0508000271
508000273;CALCADO SEG. BICO PVC N��� ;0508000273
508000275;CALCADO SEG. BICO PVC N��� ;0508000275
508000276;CALCADO SEG. BICO PVC N��� ;0508000276
508000278;CARNEIRA PARA CAPACETE;0508000278
508000279;CALCADO SEG BICO COMPOSITE 45;0508000279
508000284;COLETE TIPO X;0508000284
508000285;COLETE REFLETIVO LARANJA G;0508000285
508000291;AVENTAL RASPA BARBEIRO;0508000291
508000292;KIT DUCHA OFTALMICA;0508000292
508000298;MASCARA DE PO PFF2 COM VALVULA;0508000298
508000299;MASCARA DE PO PFF2 2400;0508000299
508000300;JAPONA TERMICA DE NYLON TAM P;0508000300
508000302;JAPONA TERMICA DE NYLON TAM M;0508000302
508000303;JAPONA TERMICA DE NYLON TAM G;0508000303
508000304;JAPONA TERMICA DE NYLON TAM GG;0508000304
508000305;JAPONA TERMICA DE NYLON EXG;0508000305
508000311;JUGULAR UNIVERSAL P/ CAPACETE;0508000311
508000324;BOTA PVC CANO LONGO S/ BICO 35;0508000324
508000327;LUVA LATEX G;0508000327
508000336;LUVA DE NYLON;0508000336
508000342;PROTETOR SOLAR FATOR 60 140ML;0508000342
508000346;FILTRO MASCARA RESP 6004/10;0508000346
508000351;CALCADO SEG. BICO PVC N��� ;0508000351
508000369;OCULOS INCOLOR SOBREPOR;0508000369
508000374;TRAVA QUEDA;0508000374
508000389;KIT PROTECAO AMBIENTAL;0508000389
508000393;CALCADO SEG MICROFIBRA B/A 36;0508000393
508000398;CALCADO SEG MICROFIBRA B/A 41;0508000398
508000441;LUVA PU PRETA;0508000441
508000442;LUVA NEOPREME TAM. G;0508000442
508000447;APITO;0508000447
508000464;CALCADO SEG BICO COMPOSITE 33;0508000464
508000466;BOTA IMPERMEAVEL CANO LONGO 36;0508000466
508000467;BOTA IMPERMEAVEL CANO LONGO 37;0508000467
508000468;BOTA IMPERMEAVEL CANO LONGO 38;0508000468
508000469;BOTA IMPERMEAVEL CANO LONGO 39;0508000469
508000471;CAPACETE VERMELHO;0508000471
508000474;CLIP PORTA LUVAS;0508000474
508000475;OCULOS FUME CAPRI KALIPSO;0508000475
508000477;CHAPEU DE PESCA PROTECAO NUCAL;0508000477
508000478;CALCO CAMINHAO;0508000478
508000484;CAPA CHUVA AMARELA P;0508000484
508000485;CAPA CHUVA AMARELA M;0508000485
508000486;CAPA CHUVA AMARELA G;0508000486
508000487;CAPA CHUVA AMARELA GG;0508000487
508000488;CAPA CHUVA AMARELA XG;0508000488
508000489;CAPACETE MONTANA ALPINISTA BR;0508000489
508000498;CALCADO SEG PVC CANO MEDIO 36;0508000498
508000510;MASCARA SEMI FACI 3M 6003/6006;0508000510
508000511;FILTRO VOGA 3M 6003;0508000511
508000515;CALCADO SEG PVC CANO MEDIO 37;0508000515
508000516;CALCADO SEG PVC CANO MEDIO 38;0508000516
508000517;CALCADO SEG BICO COMPOSITE 46;0508000517
508000518;LUVA NITRILICA VERDE P;0508000518
508000519;LUVA NITRILICA VERDE G;0508000519
508000520;LUVA PIGMENTADA P;0508000520
508000521;LUVA PIGMENTADA G;0508000521
508000525;CALCADO SEG PVC CANO MEDIO 39;0508000525
